Epoch 92/100, train_cost = 0.853, test_accuracy = 0.731, time = 19.960,test-time=0.846
Epoch 93/100, train_cost = 0.855, test_accuracy = 0.731, time = 20.061,test-time=0.827
Epoch 94/100, train_cost = 0.848, test_accuracy = 0.730, time = 19.953,test-time=0.815
Epoch 95/100, train_cost = 0.847, test_accuracy = 0.730, time = 19.798,test-time=0.823
Epoch 96/100, train_cost = 0.846, test_accuracy = 0.730, time = 20.178,test-time=0.824
Epoch 97/100, train_cost = 0.846, test_accuracy = 0.730, time = 20.093,test-time=0.814
Epoch 98/100, train_cost = 0.845, test_accuracy = 0.729, time = 19.914,test-time=0.822
Epoch 99/100, train_cost = 0.845, test_accuracy = 0.729, time = 19.961,test-time=0.817
Epoch 100/100, train_cost = 0.844, test_accuracy = 0.728, time = 19.846,test-time=0.811
Model has been trained 
